UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
chizzo drama,@Chizzodrama,2023-04-10T07:46:42.000Z,"chizzo drama
@Chizzodrama
·
Apr 10","Jamani dawasco ni ya Dar,  acheni kung'ang'ania vya watu ",😁 😁,45,9,82,['https://pbs.twimg.com/media/FtVlHXNWwAI_fer?format=jpg&name=small'],https://twitter.com/Chizzodrama/status/1645332463546245120
Zee La Nyeti,@OriginoZee17,2023-04-04T10:12:54.000Z,"Zee La Nyeti
@OriginoZee17
·
Apr 4",Huyu Jamaa Story Yake Imenisikitisha Sana Eti Alimwagiwa Tindikali Kisa Kukataa Kumla Mwanaume Mwenzake Kinyeo Yaani Kumfir* Shoga Ndio Akaamua Kummwagia Tindikali Hii Dunia Kuna Watu Moto Wa Jehanam Wanastahili Kabisa.,,118,54,"1,307",['https://pbs.twimg.com/media/Fs3NE4MX0AEgq1k?format=jpg&name=small'],https://twitter.com/OriginoZee17/status/1643194925675061248
nataa,@cureurdepresion,2023-04-04T19:01:58.000Z,"nataa
@cureurdepresion
·
Apr 4","Replying to 
@idextratime",,1,7,191,['https://pbs.twimg.com/media/Fs5GLHPaIAEdZ8O?format=jpg&name=small'],https://twitter.com/cureurdepresion/status/1643328073675452416
Ze Planmaster,@ZPlanmaster,2023-04-07T04:35:59.000Z,"Ze Planmaster
@ZPlanmaster
·
Apr 7","Siku kama ya leo Miaka 11 iliyopita, mwigizaji nguli na muongozaji bora wa filamu  kutoka Tanzania Steven Charles Kanumba alifariki dunia.  Ni filamu gani kwako ni pendwa kwa muda wote?",,42,37,295,['https://pbs.twimg.com/media/FtFcu5WXwAErD-m?format=jpg&name=small'],https://twitter.com/ZPlanmaster/status/1644197302754586624
-,@sunoocrushs,2023-04-04T10:21:31.000Z,"-
@sunoocrushs
·
Apr 4","buat mutual aku terimakasii udh lahir ke dunia & udh datang ke kehidupan aku meskipun ini cuma online.. selalu jaga diri ya, jangan lupa sayangi diri kalian.. i love u all ",😸 💖 ‼,26,8,51,"['https://pbs.twimg.com/media/Fs3PCvoaUAA2d90?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs3PCvnaMAYPJTf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs3PCvpacAItm79?format=jpg&name=360x360']",https://twitter.com/sunoocrushs/status/1643197096273772545
Paul_Makubi,@Makubi_Pol,2023-04-04T06:38:42.000Z,"Paul_Makubi
@Makubi_Pol
·
Apr 4","watu wa magharibi wameona  nchi zao wanaongezeka sana baadae watakosa makazi.

Ndio maana wana promote LGBTQ kupunguza idadi ya watu, kaka 
@Deodravis
 endelea wapiga pini wapuuzi hawa.

Turudii kuwekeza sasa kabla hawa majangili hawajaja ",😁 😁,4,3,14,['https://pbs.twimg.com/media/Fs2cDVKX0AEVkgp?format=jpg&name=small'],https://twitter.com/Makubi_Pol/status/1643141023307124736
Bore Jnr,@borejnr2,2023-04-04T18:06:51.000Z,"Bore Jnr
@borejnr2
·
Apr 4",Kuja uambie watu mbona haujanifollow na nafollow back,,4,7,20,['https://pbs.twimg.com/media/Fs45jj0WwAYvnS8?format=jpg&name=small'],https://twitter.com/borejnr2/status/1643314201555791872
JIGGA,@Okleth7ergo,2023-04-10T18:48:53.000Z,"JIGGA
@Okleth7ergo
·
Apr 10","Mpka maisha ya watu haeleweki ni mchambuzi ama mropokaji wa mtaani ni bora abase kwenye uchambuzi wa dawa za kuacha nyeto huko ndiko kunamfaa

2.Wilson oruma mzee wa jambia
huyu anajulikana kama rais wa wapanda daladala duniani ila cha kushangaza ni mojawapo ya chambuzi wa hovyo",,4,6,97,['https://pbs.twimg.com/media/FtX8t2PWYAAMbEL?format=jpg&name=small'],https://twitter.com/Okleth7ergo/status/1645499107472027649
m.ѕ.α.k.í †,@raphyrodrick,2023-04-10T12:43:08.000Z,"m.ѕ.α.k.í †
@raphyrodrick
·
Apr 10","Watu humu mnaona 400k ni hela ndogo, mshahara kabisa wa mtu",,28,12,188,['https://pbs.twimg.com/media/FtWpAVkWAAAjKua?format=jpg&name=360x360'],https://twitter.com/raphyrodrick/status/1645407064359837696
Damn!,@das_crazyyyyy,2023-04-12T20:11:52.000Z,"Damn!
@das_crazyyyyy
·
10h","Replying to 
@muli_brian_",,1,,4,['https://pbs.twimg.com/media/Ftii2ZsXgAEgVTR?format=jpg&name=small'],https://twitter.com/das_crazyyyyy/status/1646244764193550337
Extra Time Indonesia,@idextratime,2023-04-04T03:38:17.000Z,"Extra Time Indonesia
@idextratime
·
Apr 4","Tadi malam, Erick Thohir kembali ke Eropa guna menemui Presiden FIFA. 

Agendanya adalah menjelaskan peta biru persepak bolaan Indonesia kepada FIFA sesuai arahan Presiden Jokowi serta (mungkin) membahas potensi sanksi karena kegagalan menjadi tuan rumah Piala Dunia U20.",,201,278,"4,744",['https://pbs.twimg.com/media/Fs1ywbpaAAUqUb3?format=jpg&name=small'],https://twitter.com/idextratime/status/1643095618842427392
Dunia Mashaka Makuu,@diddyrepublic,2023-04-04T18:35:28.000Z,"Dunia Mashaka Makuu
@diddyrepublic
·
Apr 4",Shall we….,,,,,['https://pbs.twimg.com/media/Fs5AGUEXsAUoJT9?format=jpg&name=small'],https://twitter.com/diddyrepublic/status/1643321404782174214
Wa Ingoo,@greatturtle254,2023-04-12T10:19:18.000Z,"Wa Ingoo
@greatturtle254
·
20h",Siamini huyu ni omosh na akotheogeni watu wangu,😂 😂 😎,,3,8,['https://pbs.twimg.com/media/FtgbQq3WIAEq1uW?format=jpg&name=360x360'],https://twitter.com/greatturtle254/status/1646095640320176128
Chanzu,@kijanayavihiga,2023-04-04T09:20:37.000Z,"Chanzu
@kijanayavihiga
·
Apr 4",Watu thate nifike 1k followers,,,,2,['https://pbs.twimg.com/media/Fs3BHIWWwAIwXoY?format=jpg&name=small'],https://twitter.com/kijanayavihiga/status/1643181770156789760
ChichaMandi,@Jumaallymwiguru,2023-04-12T06:30:42.000Z,"ChichaMandi
@Jumaallymwiguru
·
Apr 12","Ni Kweli Binadam Tumeumbwa Kusahau Lakini Sometimes Huwa Tunafanya Makusudi.
Watu Wenye Mioyo Migumu Tuko Na Lampard Leo ",,16,16,86,['https://pbs.twimg.com/media/Ftfm7NKWYAAXUSu?format=jpg&name=small'],https://twitter.com/Jumaallymwiguru/status/1646038112575922176
Coach AxdwinIndonesia,@axdwin,2023-04-04T10:43:08.000Z,"Coach AxdwinIndonesia
@axdwin
·
Apr 4","“Barangsiapa yang bangun di pagi hari dan hanya dunia yang dipikirkannya, sehingga seolah-olah tidak melihat hak-hak Allah dalam dirinya, maka Allah akan menanamkan 4 penyakit: 

1. Kebingungan yang tiada putus-putusnya
2. Kesibukan yang tidak pernah ada ujungnya,",🌏,7,91,327,['https://pbs.twimg.com/media/Fs3T__gaUDYq1pw?format=jpg&name=small'],https://twitter.com/axdwin/status/1643202537632468995
Racheal,@rachealnjiku,2023-04-07T12:26:14.000Z,"Racheal
@rachealnjiku
·
Apr 7","#AD Watu wa Umoja , form ni pale Soulfa Lounge for great Reggae Vibes courtesy of Pilsner Lager as from 6PM leo, with great vibes from Dj Dexter. Bei poa, 5 Pilsner Lager ni only 1000 bob, numerous merchandise to be won ukipatikana na Pilsner yako. 
#StandTallStrideOn",,,2,3,['https://pbs.twimg.com/media/FtHIWihXwAE_K79?format=jpg&name=small'],https://twitter.com/rachealnjiku/status/1644315646593736704
H@nifah Andini,H@nifah Andini,2023-04-04T05:34:46.000Z,"H@nifah Andini
@HanifahAndini96
·
Apr 4","Lagi ngelawak 
Kenapa pas Piala Dunia U20 ga nunggu instruksi Presiden? Jahatnya kalian terlihat jelas ",🌻 😂 😌,7,5,23,['https://pbs.twimg.com/media/Fs2NUTjaYAEfVDM?format=jpg&name=small'],https://twitter.com/HanifahAndini96/status/1643124933957160960
Ahmad Faezal,@AhmadFaezal4,2023-04-10T19:17:37.000Z,"Ahmad Faezal
@AhmadFaezal4
·
Apr 10","Selepas Perang Dunia Pertama, Bani Hashim bangkit menjadi sebuah dinasti baru. Hussein al-Hashimi jadi Raja Hejaz (tanah Saudi sekarang). Bani ni menguasai Syria, Iraq dan Jordan melalui jalur masing-masing.

Dan al-Husayni juga tak kurang hebat. Mereka menguasai Jerusalem.",,1,10,69,['https://pbs.twimg.com/media/FtYAnKIaUAAYLkV?format=jpg&name=small'],https://twitter.com/AhmadFaezal4/status/1645506338708144128
Radio Amani,@RadioAmani,2023-04-04T10:34:01.000Z,"Radio Amani
@RadioAmani
·
Apr 4","To the much awaited day. The day of Episcopal Ordinance and Installation.  Our Bishop Elect
Msgr. Cleophas Oseso Tuka will be ordained. Karibuni nyote watu wa Mungu.
@michellenjerisr
 
@therealgladysk
@nikokyalo
 
@madelenamghoi
@MOmuttaha
 
@Kelvin_Maroko
 
@ViennaErick",🤗 🤗,,3,4,['https://pbs.twimg.com/media/Fs3R6PEXwAAzTzu?format=jpg&name=small'],https://twitter.com/RadioAmani/status/1643200240206458880
G. H. O. S. T,@Hon_KibayasiF,2023-04-04T14:00:03.000Z,"G. H. O. S. T
@Hon_KibayasiF
·
Apr 4","JOB: Nondo huwa unatabia ya kukumbatia watu uwanjani

MWAMNYETO: ONYANGO huyo. Sio Mimi",🤓,,13,156,['https://pbs.twimg.com/media/Fs4BEAmX0AEbrnK?format=jpg&name=small'],https://twitter.com/Hon_KibayasiF/status/1643252092365074434
Rose Moshi Makei,@RoseMakei,2023-04-11T12:01:51.000Z,"Rose Moshi Makei
@RoseMakei
·
Apr 11","Tukiweza kutekeleza huu wito wa kugomea kulipa leseni ,ushuru na mapato mbali×2 serikali itasimama
Hebu fikiria  watu wasio na sifa ya kuwa Wabunge  kwa miaka 2 wametafuna zaidi ya Bill 2.9 bado sitting allowance 
Hizi ni kodi za wananchi zinatafunwa tu
TUSEME SASA BASI IMETOSHA",,5,22,43,['https://pbs.twimg.com/media/FtbpIlYWAAI57GB?format=jpg&name=small'],https://twitter.com/RoseMakei/status/1645759061130899456
Ntele,@WisemanNtele,2023-04-13T06:30:44.000Z,"Ntele
@WisemanNtele
·
40m","Kunapokuwa na uzimwaji wa internet mara nyingi inatokana na joto la kisiasa , haki za binadamu au demokrasia, ikiwa  ni mbinu ambayo serikali inatumia kuwanyima watu haki zao katika maeneo mbalimbali.  #InternetIsLife #MaishaNiMtandao #KatibaMpya",,,3,,['https://pbs.twimg.com/media/Ftkwh51XsAAKFU8?format=jpg&name=small'],https://twitter.com/WisemanNtele/status/1646400509107146755
Heldan.,@Forralskad,2023-04-04T11:42:57.000Z,"Heldan.
@Forralskad
·
Apr 4","Pacaran mesra-mesraan 
Pacaran bahas dunia kuantum fisika 
Idk how to say I'm so grateful for her. She's so smart af. I'm so proud of her. That's it.",❎ ✅,2,,,['https://pbs.twimg.com/media/Fs3hsD2aIAAJ8_W?format=jpg&name=small'],https://twitter.com/Forralskad/status/1643217589018177538
Paul_Makubi,@Makubi_Pol,2023-04-04T06:38:46.000Z,"Paul_Makubi
@Makubi_Pol
·
Apr 4","Idadi ya watu itaongezeka Tunatazamia Idadi ya watu kuwa kwa kiwango kikubwa sana.
Sababu huduma za afya zimeboreshwa, miundombinu pia
Huduma za kijamii pongezi kwa
Rais 
@SuluhuSamia
Kumbuka ardhi haiongezeki  ila watu tunaongezeka sana.",,2,,9,['https://pbs.twimg.com/media/Fs2cEWyXsAER_AD?format=jpg&name=360x360'],https://twitter.com/Makubi_Pol/status/1643141041279696896
lia.,@MAIDENSLONGING,2023-04-04T15:10:47.000Z,"lia.
@MAIDENSLONGING
·
Apr 4",dunia ini harus tau kalo f12 gw diem-diem di clear sama crush gw. man knows im lazy as hell and idk if thats a good this or a bad thing,,2,,1,['https://pbs.twimg.com/media/Fs4QePTaYAQi8Dr?format=jpg&name=small'],https://twitter.com/MAIDENSLONGING/status/1643269893926817793
Réyna,@reynadetta,2023-04-04T03:26:26.000Z,"Réyna
@reynadetta
·
Apr 4",good pagi dunia tipu tipu,,4,,1,['https://pbs.twimg.com/media/Fs1wC4macAATb5l?format=jpg&name=900x900'],https://twitter.com/reynadetta/status/1643092636771962881
baby_mia,@BoktiAmira,2023-04-07T11:44:23.000Z,"baby_mia
@BoktiAmira
·
Apr 7","' syurga Melur.....Dunia akhirat'.....awhhh so sweet la Melur ni.. 
#MelurUntukFirdausSeason2",,,7,49,['https://pbs.twimg.com/media/FtG-yYTaMAATY22?format=jpg&name=small'],https://twitter.com/BoktiAmira/status/1644305113924894721
Judy Wawira,@Judychelsea2009,2023-04-04T17:16:58.000Z,"Judy Wawira
@Judychelsea2009
·
Apr 4","Replying to 
@citizentvkenya",,,,28,['https://pbs.twimg.com/media/Fs4uIkYWYAsBkfx?format=jpg&name=small'],https://twitter.com/Judychelsea2009/status/1643301645499916302
Dufla,@iamdufla,2023-04-04T06:18:45.000Z,"Dufla
@iamdufla
·
Apr 4","Tangu nijoin huyu master pale WhatsApp group,sijawahi kosa Hela kwenye account yangu  retweet ifikie watu wengi
https://chat.whatsapp.com/Fy3rAHHs6Yw8W2U1qdtprU…",☺ ☺ 💰,1,1,24,['https://pbs.twimg.com/media/Fs2Xe8BWIAAz3uc?format=jpg&name=900x900'],https://twitter.com/iamdufla/status/1643136003874467841
Francis Waweru,@franconjau_,2023-04-11T16:40:44.000Z,"Francis Waweru
@franconjau_
·
Apr 11",Watu thate washa ni unfollow  we grow again,😢,,,,['https://pbs.twimg.com/media/Ftco-aYWAA8J5RG?format=jpg&name=small'],https://twitter.com/franconjau_/status/1645829245833289729
iam_Jac,@Iam_jac5,2023-04-13T05:45:04.000Z,"iam_Jac
@Iam_jac5
·
1h","Kunapokuwa na uzimwaji wa internet mara nyingi inatokana na joto la kisiasa , haki za binadamu au demokrasia, ikiwa  ni mbinu ambayo serikali inatumia kuwanyima watu haki zao katika maeneo mbalimbali.  #InternetIsLife #MaishaNiMtandao #KatibaMpya",,,6,1,['https://pbs.twimg.com/media/FtkmFOpWcAEAZEG?format=jpg&name=small'],https://twitter.com/Iam_jac5/status/1646389015321427968
Chusnul chtimah,@ch_chotimah2,2023-04-04T12:50:15.000Z,"Chusnul chtimah
@ch_chotimah2
·
Apr 4","Makanya nonton videonya.
Semuanya mendukung agar Piala Dunia sukses.
Kalo Krn menolak Israel dianggap ga mendukung, berarti pemerintah juga dianggap ga mendukung kesuksesan Pildun Krn sdh mengajukan syarat ke FIFA terkait Israel?",💞,34,33,107,"['https://pbs.twimg.com/media/Fs3xF-waMAQHeCo?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1417788589119729671/ouvtE5P7_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1643231644583886848/pu/img/oKSYvBjRJhb_1elo?format=jpg&name=120x120']",https://twitter.com/ch_chotimah2/status/1643234526766993411
David Muturi,@DavidMu23504994,2023-04-10T15:48:11.000Z,"David Muturi
@DavidMu23504994
·
Apr 10","Replying to 
@main_wolfgirl2",,,,,['https://pbs.twimg.com/media/FtXTWEYXwAU17Vb?format=jpg&name=small'],https://twitter.com/DavidMu23504994/status/1645453629665554432
Kijana Wa Atwori,@AtworiYa,2023-04-07T19:30:52.000Z,"Kijana Wa Atwori
@AtworiYa
·
Apr 7","Kuna movie nawatch hapa but ni kama hawa watu wamekataa kupigana, acha nilale..",🔸,10,48,162,['https://pbs.twimg.com/media/FtIpjgDWAAAemGJ?format=jpg&name=small'],https://twitter.com/AtworiYa/status/1644422507896664066
Blessed Tillah,@TillahBlessed,2023-04-05T14:25:27.000Z,"Blessed Tillah
@TillahBlessed
·
Apr 5","Anaandika msanii 
@fobyofficial
 
“Nafikiri watu wamuache Ngwair apumzike, na sio Ngwair tu hata King Zilla walikuwa wanafanya vitu vingi ambavyo sasa hivi watu hawafanyi japo wakali wapo, ila wale watu walikuwa ni Full Package”
#TillahUpdates",,1,6,21,"['https://pbs.twimg.com/media/Fs9QduxXsAEL6RR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs9Qdu1XwAAD0Wl?format=jpg&name=360x360']",https://twitter.com/TillahBlessed/status/1643620873142784000
